dep,capa,osm_id,nombre,lat,lon,ha,tipo,cultivo,operador,web,tel
AMAZONAS,landuse,w990981469,,-6.590896,-77.813738,1.53,farmland,,,,
AMAZONAS,landuse,w990981854,,-6.590741,-77.812878,0.32,farmland,,,,
AMAZONAS,landuse,w990982216,,-6.591422,-77.813036,0.21,farmland,,,,
AMAZONAS,landuse,w990982602,,-6.592427,-77.815492,0.45,farmland,,,,
AMAZONAS,landuse,w990984624,,-6.590983,-77.808973,0.26,farmland,,,,
AMAZONAS,landuse,w990985911,,-6.591731,-77.806249,0.77,farmland,,,,
AMAZONAS,landuse,w990986184,,-6.590705,-77.806175,1.9,farmland,,,,
AMAZONAS,landuse,w990986822,,-6.59017,-77.807539,1.39,farmland,,,,
AMAZONAS,landuse,w990988384,,-6.588665,-77.807062,3.08,farmland,,,,
AMAZONAS,landuse,w990993065,,-6.594009,-77.805843,2.57,farmland,,,,
AMAZONAS,landuse,w990997177,,-6.588943,-77.806044,1.04,farmland,,,,
AMAZONAS,landuse,w990998222,,-6.591058,-77.805376,0.94,farmland,,,,
AMAZONAS,landuse,w990998483,,-6.597725,-77.807094,0.47,farmland,,,,
AMAZONAS,landuse,w990998719,,-6.598182,-77.806735,0.34,farmland,,,,
AMAZONAS,landuse,w991000281,,-6.586936,-77.812031,0.61,farmland,,,,
AMAZONAS,landuse,w991000500,,-6.587566,-77.812012,0.13,farmland,,,,
AMAZONAS,landuse,w991000756,,-6.586762,-77.810103,0.86,farmland,,,,
AMAZONAS,landuse,w991001077,,-6.588258,-77.812142,0.31,farmland,,,,
AMAZONAS,landuse,w991001402,,-6.586826,-77.813303,0.68,farmland,,,,
AMAZONAS,landuse,w991002034,,-6.586599,-77.811276,0.59,farmland,,,,
AMAZONAS,landuse,w991002560,,-6.586723,-77.810769,0.33,farmland,,,,
AMAZONAS,landuse,w991002990,,-6.587464,-77.808824,0.94,farmland,,,,
AMAZONAS,landuse,w991003215,,-6.595859,-77.805114,1.03,farmland,,,,
AMAZONAS,landuse,w991003614,,-6.595412,-77.804185,0.53,farmland,,,,
AMAZONAS,landuse,w991003802,,-6.59638,-77.803974,0.47,farmland,,,,
AMAZONAS,landuse,w991004067,,-6.595725,-77.803455,0.07,farmland,,,,
AMAZONAS,landuse,w991004146,,-6.593801,-77.804078,0.75,farmland,,,,
AMAZONAS,landuse,w991004290,,-6.592403,-77.80392,1.4,farmland,,,,
AMAZONAS,landuse,w991004326,,-6.591255,-77.804171,0.49,farmland,,,,
AMAZONAS,landuse,w991004544,,-6.590214,-77.804266,1.17,farmland,,,,
AMAZONAS,landuse,w991004717,,-6.592401,-77.80549,0.58,farmland,,,,
AMAZONAS,landuse,w991005558,,-6.589812,-77.805197,1.76,farmland,,,,
AMAZONAS,landuse,w991005986,,-6.590593,-77.803504,1.54,farmland,,,,
AMAZONAS,landuse,w991007507,,-6.597946,-77.799513,0.84,farmland,,,,
AMAZONAS,landuse,w991007561,,-6.594372,-77.795386,0.87,farmland,,,,
AMAZONAS,landuse,w991037826,,-6.59338,-77.797392,0.75,farmland,,,,
AMAZONAS,landuse,w991038860,,-6.593351,-77.798034,1.33,farmland,,,,
AMAZONAS,landuse,w991039131,,-6.591115,-77.802527,1.54,farmland,,,,
AMAZONAS,landuse,w991039902,,-6.590862,-77.802159,0.98,farmland,,,,
AMAZONAS,landuse,w991045364,,-6.592994,-77.801823,0.62,farmland,,,,
AMAZONAS,landuse,w991045978,,-6.592961,-77.800975,1.02,farmland,,,,
AMAZONAS,landuse,w991046466,,-6.592628,-77.800562,0.72,farmland,,,,
AMAZONAS,landuse,w991047027,,-6.591266,-77.800861,0.22,farmland,,,,
AMAZONAS,landuse,w991047134,,-6.591964,-77.79994,1.69,farmland,,,,
AMAZONAS,landuse,w991047560,,-6.592502,-77.798851,0.22,farmland,,,,
AMAZONAS,landuse,w991047930,,-6.594225,-77.796526,0.58,farmland,,,,
AMAZONAS,landuse,w991048637,,-6.594764,-77.79528,0.7,farmland,,,,
AMAZONAS,landuse,w991048887,,-6.595238,-77.79473,0.32,farmland,,,,
AMAZONAS,landuse,w991049077,,-6.595601,-77.794345,0.24,farmland,,,,
AMAZONAS,landuse,w991049205,,-6.596116,-77.794573,0.45,farmland,,,,
AMAZONAS,landuse,w991049516,,-6.596534,-77.794649,0.08,farmland,,,,
AMAZONAS,landuse,w991049539,,-6.596781,-77.795095,0.08,farmland,,,,
AMAZONAS,landuse,w991049961,,-6.596537,-77.795487,0.12,farmland,,,,
AMAZONAS,landuse,w991050759,,-6.597227,-77.795889,0.72,farmland,,,,
AMAZONAS,landuse,w991051456,,-6.59773,-77.795843,0.29,farmland,,,,
AMAZONAS,landuse,w991052007,,-6.597858,-77.796452,0.1,farmland,,,,
AMAZONAS,landuse,w991052302,,-6.598599,-77.796039,0.04,farmland,,,,
AMAZONAS,landuse,w991052427,,-6.598676,-77.796715,0.28,farmland,,,,
AMAZONAS,landuse,w991054494,,-6.601246,-77.806092,0.63,farmland,,,,
AMAZONAS,landuse,w991055172,,-6.601937,-77.805549,0.5,farmland,,,,
AMAZONAS,landuse,w991058718,,-6.602352,-77.804953,0.32,farmland,,,,
AMAZONAS,landuse,w991059362,,-6.602988,-77.80474,0.13,farmland,,,,
AMAZONAS,landuse,w991059626,,-6.600641,-77.806035,0.83,farmland,,,,
AMAZONAS,landuse,w991059818,,-6.599748,-77.806979,0.6,farmland,,,,
AMAZONAS,landuse,w991060167,,-6.599524,-77.806376,0.8,farmland,,,,
AMAZONAS,landuse,w991060684,,-6.602574,-77.805777,0.76,farmland,,,,
AMAZONAS,landuse,w991061065,,-6.603178,-77.805177,0.4,farmland,,,,
AMAZONAS,landuse,w991061752,,-6.60358,-77.80493,0.1,farmland,,,,
AMAZONAS,landuse,w991062294,,-6.604016,-77.804799,0.19,farmland,,,,
AMAZONAS,landuse,w991062750,,-6.603807,-77.804572,0.18,farmland,,,,
AMAZONAS,landuse,w991063169,,-6.604794,-77.804443,0.66,farmland,,,,
AMAZONAS,landuse,w991063277,,-6.605528,-77.803734,0.62,farmland,,,,
AMAZONAS,landuse,w991063578,,-6.606262,-77.803595,0.49,farmland,,,,
AMAZONAS,landuse,w991064196,,-6.606796,-77.804201,0.39,farmland,,,,
AMAZONAS,landuse,w991064415,,-6.606862,-77.803768,0.64,farmland,,,,
AMAZONAS,landuse,w991064918,,-6.600697,-77.801001,0.88,farmland,,,,
AMAZONAS,landuse,w991065244,,-6.600117,-77.801684,0.88,farmland,,,,
AMAZONAS,landuse,w991065585,,-6.601842,-77.804239,0.78,farmland,,,,
AMAZONAS,landuse,w991065715,,-6.602638,-77.803613,1.42,farmland,,,,
AMAZONAS,landuse,w991065893,,-6.601428,-77.801618,0.56,farmland,,,,
AMAZONAS,landuse,w991066041,,-6.601199,-77.802114,0.28,farmland,,,,
AMAZONAS,landuse,w991066096,,-6.602869,-77.80294,0.13,farmland,,,,
AMAZONAS,landuse,w991080932,,-6.603095,-77.80246,0.54,farmland,,,,
AMAZONAS,landuse,w991081452,,-6.603735,-77.80314,0.92,farmland,,,,
AMAZONAS,landuse,w991081729,,-6.604537,-77.803899,1.24,farmland,,,,
AMAZONAS,landuse,w991081762,,-6.603257,-77.803374,0.34,farmland,,,,
AMAZONAS,landuse,w991082095,,-6.601747,-77.803168,0.61,farmland,,,,
AMAZONAS,landuse,w991082258,,-6.601348,-77.803096,0.66,farmland,,,,
AMAZONAS,landuse,w991082524,,-6.600787,-77.802922,0.7,farmland,,,,
AMAZONAS,landuse,w991083021,,-6.599362,-77.800418,1.35,farmland,,,,
AMAZONAS,landuse,w991083424,,-6.598788,-77.79993,0.32,farmland,,,,
AMAZONAS,landuse,w991300708,,-6.599786,-77.799316,0.45,farmland,,,,
AMAZONAS,landuse,w991300791,,-6.599158,-77.799302,0.05,farmland,,,,
AMAZONAS,landuse,w991301165,,-6.600004,-77.798906,0.44,farmland,,,,
AMAZONAS,landuse,w991301626,,-6.597805,-77.796902,0.5,farmland,,,,
AMAZONAS,landuse,w991301744,,-6.597212,-77.797136,0.11,farmland,,,,
AMAZONAS,landuse,w991301896,,-6.597595,-77.797981,0.97,farmland,,,,
AMAZONAS,landuse,w991302046,,-6.596696,-77.79808,0.6,farmland,,,,
AMAZONAS,landuse,w991302083,,-6.596969,-77.798681,0.2,farmland,,,,
AMAZONAS,landuse,w991302617,,-6.598943,-77.798483,0.26,farmland,,,,
AMAZONAS,landuse,w991303137,,-6.597435,-77.799267,0.42,farmland,,,,
AMAZONAS,landuse,w991303406,,-6.597022,-77.799223,0.24,farmland,,,,
AMAZONAS,landuse,w991355289,,-6.591432,-77.817353,0.29,farmland,,,,
AMAZONAS,landuse,w991355388,,-6.588777,-77.819057,0.29,farmland,,,,
AMAZONAS,landuse,w991356604,,-6.585452,-77.814085,0.1,farmland,,,,
AMAZONAS,landuse,w991356788,,-6.586317,-77.813972,0.55,farmland,,,,
AMAZONAS,landuse,w991357474,,-6.591898,-77.816363,0.57,farmland,,,,
AMAZONAS,landuse,w991363019,,-6.593836,-77.815071,0.91,farmland,,,,
AMAZONAS,landuse,w991363127,,-6.594026,-77.814328,2.62,farmland,,,,
AMAZONAS,landuse,w991363342,,-6.593309,-77.812693,1.25,farmland,,,,
AMAZONAS,landuse,w991394972,,-6.59765,-77.810498,1.38,farmland,,,,
AMAZONAS,landuse,w992083350,,-6.601024,-77.804748,0.11,farmland,,,,
AMAZONAS,landuse,w992083438,,-6.601084,-77.80492,0.11,farmland,,,,
AMAZONAS,landuse,w992083494,,-6.60164,-77.804758,0.11,farmland,,,,
AMAZONAS,landuse,w992083885,,-6.601729,-77.805105,0.38,farmland,,,,
AMAZONAS,landuse,w992084310,,-6.601038,-77.805339,0.43,farmland,,,,
AMAZONAS,landuse,w992084722,,-6.600639,-77.805086,0.21,farmland,,,,
AMAZONAS,landuse,w992084804,,-6.600174,-77.805547,0.61,farmland,,,,
AMAZONAS,landuse,w992084877,,-6.600554,-77.804549,0.67,farmland,,,,
AMAZONAS,landuse,w992084950,,-6.600699,-77.804009,0.7,farmland,,,,
AMAZONAS,landuse,w992085116,,-6.600275,-77.802586,1.07,farmland,,,,
AMAZONAS,landuse,w992099561,,-6.599827,-77.805042,0.3,farmland,,,,
AMAZONAS,landuse,w992099774,,-6.599437,-77.805801,0.62,farmland,,,,
AMAZONAS,landuse,w992100077,,-6.599004,-77.805941,0.36,farmland,,,,
AMAZONAS,landuse,w992100670,,-6.597938,-77.804026,0.12,farmland,,,,
AMAZONAS,landuse,w992101024,,-6.598067,-77.803681,0.19,farmland,,,,
AMAZONAS,landuse,w992101190,,-6.596975,-77.802595,0.39,farmland,,,,
AMAZONAS,landuse,w992101750,,-6.597296,-77.803208,2.09,farmland,,,,
AMAZONAS,landuse,w992101929,,-6.597671,-77.800405,1.01,farmland,,,,
AMAZONAS,landuse,w992102044,,-6.598257,-77.80077,0.09,farmland,,,,
AMAZONAS,landuse,w992102252,,-6.597943,-77.801116,0.23,farmland,,,,
AMAZONAS,landuse,w992102438,,-6.594746,-77.802606,0.11,farmland,,,,
AMAZONAS,landuse,w992102529,,-6.595292,-77.802859,0.31,farmland,,,,
AMAZONAS,landuse,w992102973,,-6.596066,-77.802515,0.85,farmland,,,,
AMAZONAS,landuse,w992103904,,-6.595596,-77.802467,0.35,farmland,,,,
AMAZONAS,landuse,w992104189,,-6.595244,-77.802135,0.31,farmland,,,,
AMAZONAS,landuse,w992104772,,-6.597091,-77.800916,0.84,farmland,,,,
AMAZONAS,landuse,w992105087,,-6.596287,-77.801685,0.47,farmland,,,,
AMAZONAS,landuse,w992105541,,-6.596393,-77.80114,0.59,farmland,,,,
AMAZONAS,landuse,w992106153,,-6.597686,-77.801599,1.32,farmland,,,,
AMAZONAS,landuse,w992106353,,-6.59641,-77.803014,0.15,farmland,,,,
AMAZONAS,landuse,w992106497,,-6.59605,-77.803812,0.13,farmland,,,,
AMAZONAS,landuse,w992107827,,-6.595772,-77.803222,0.07,farmland,,,,
AMAZONAS,landuse,w992108554,,-6.59619,-77.803382,0.55,farmland,,,,
AMAZONAS,landuse,w992109291,,-6.594548,-77.802899,0.17,farmland,,,,
AMAZONAS,landuse,w992110848,,-6.594824,-77.803645,1.69,farmland,,,,
AMAZONAS,landuse,w992111800,,-6.598511,-77.805345,0.94,farmland,,,,
AMAZONAS,landuse,w992294080,,-6.597683,-77.805493,0.08,farmland,,,,
AMAZONAS,landuse,w992294611,,-6.599264,-77.804868,1.13,farmland,,,,
AMAZONAS,landuse,w992294977,,-6.598438,-77.804693,0.3,farmland,,,,
AMAZONAS,landuse,w992295431,,-6.598408,-77.804443,0.26,farmland,,,,
AMAZONAS,landuse,w992295714,,-6.59864,-77.803007,1.19,farmland,,,,
AMAZONAS,landuse,w992296945,,-6.599553,-77.802698,0.38,farmland,,,,
AMAZONAS,landuse,w992298163,,-6.599313,-77.803739,2.72,farmland,,,,
AMAZONAS,landuse,w992298860,,-6.598853,-77.802033,1.75,farmland,,,,
AMAZONAS,landuse,w992299052,,-6.598667,-77.8013,0.73,farmland,,,,
AMAZONAS,landuse,w992299727,,-6.599541,-77.801258,0.94,farmland,,,,
AMAZONAS,landuse,w992301976,,-6.592886,-77.804554,0.22,farmland,,,,
AMAZONAS,landuse,w992302239,,-6.597603,-77.804462,0.47,farmland,,,,
AMAZONAS,landuse,w992302527,,-6.597044,-77.804219,0.2,farmland,,,,
AMAZONAS,landuse,w992302638,,-6.597306,-77.804981,0.41,farmland,,,,
AMAZONAS,landuse,w992303137,,-6.596476,-77.80463,0.61,farmland,,,,
AMAZONAS,landuse,w992303790,,-6.591801,-77.803277,0.71,farmland,,,,
AMAZONAS,landuse,w992303878,,-6.59232,-77.802814,0.74,farmland,,,,
AMAZONAS,landuse,w992304068,,-6.59324,-77.804033,0.26,farmland,,,,
AMAZONAS,landuse,w992304154,,-6.593686,-77.803562,0.06,farmland,,,,
AMAZONAS,landuse,w992304259,,-6.592816,-77.803281,0.19,farmland,,,,
AMAZONAS,landuse,w992304645,,-6.596431,-77.795152,0.2,farmland,,,,
AMAZONAS,landuse,w992304839,,-6.596545,-77.796097,0.28,farmland,,,,
AMAZONAS,landuse,w992304963,,-6.596556,-77.79628,0.11,farmland,,,,
AMAZONAS,landuse,w992305007,,-6.595825,-77.795823,0.1,farmland,,,,
AMAZONAS,landuse,w992305222,,-6.595917,-77.795578,0.3,farmland,,,,
AMAZONAS,landuse,w992315970,,-6.595826,-77.795128,0.46,farmland,,,,
AMAZONAS,landuse,w992316167,,-6.595178,-77.795419,0.31,farmland,,,,
AMAZONAS,landuse,w992316349,,-6.595456,-77.796338,0.92,farmland,,,,
AMAZONAS,landuse,w992318149,,-6.594694,-77.805231,0.51,farmland,,,,
AMAZONAS,landuse,w992318504,,-6.593643,-77.804838,0.13,farmland,,,,
AMAZONAS,landuse,w992318653,,-6.592808,-77.805083,0.2,farmland,,,,
AMAZONAS,landuse,w992365873,,-6.594073,-77.805198,1.02,farmland,,,,
AMAZONAS,landuse,w992365987,,-6.592129,-77.804662,0.29,farmland,,,,
AMAZONAS,landuse,w992366028,,-6.59144,-77.804885,0.33,farmland,,,,
AMAZONAS,landuse,w992373171,,-6.593717,-77.80301,0.53,farmland,,,,
AMAZONAS,landuse,w992373814,,-6.594173,-77.802878,0.12,farmland,,,,
AMAZONAS,landuse,w992374554,,-6.595515,-77.800515,0.33,farmland,,,,
AMAZONAS,landuse,w992374810,,-6.595637,-77.800817,0.51,farmland,,,,
AMAZONAS,landuse,w992375007,,-6.595617,-77.801362,0.3,farmland,,,,
AMAZONAS,landuse,w992375120,,-6.595512,-77.801681,0.15,farmland,,,,
AMAZONAS,landuse,w992375794,,-6.594681,-77.800417,0.68,farmland,,,,
AMAZONAS,landuse,w992376082,,-6.594329,-77.802479,0.19,farmland,,,,
AMAZONAS,landuse,w992376386,,-6.594206,-77.802246,0.79,farmland,,,,
AMAZONAS,landuse,w992377128,,-6.595188,-77.798546,0.72,farmland,,,,
AMAZONAS,landuse,w992377367,,-6.594918,-77.798248,0.83,farmland,,,,
AMAZONAS,landuse,w992543996,,-6.593768,-77.798589,1.19,farmland,,,,
AMAZONAS,landuse,w992547425,,-6.596409,-77.797401,0.88,farmland,,,,
AMAZONAS,landuse,w992547904,,-6.595249,-77.797681,0.8,farmland,,,,
AMAZONAS,landuse,w992548162,,-6.592756,-77.799193,0.45,farmland,,,,
AMAZONAS,landuse,w992548693,,-6.593403,-77.800207,0.42,farmland,,,,
AMAZONAS,landuse,w992549355,,-6.593331,-77.799571,0.8,farmland,,,,
AMAZONAS,landuse,w992584138,,-6.5942,-77.800083,0.37,farmland,,,,
AMAZONAS,landuse,w992584199,,-6.594121,-77.799276,0.29,farmland,,,,
AMAZONAS,landuse,w992584270,,-6.59497,-77.799366,0.59,farmland,,,,
AMAZONAS,landuse,w992584312,,-6.59485,-77.79892,0.46,farmland,,,,
AMAZONAS,landuse,w992584479,,-6.595002,-77.80012,1.01,farmland,,,,
AMAZONAS,landuse,w992584577,,-6.596011,-77.801038,0.07,farmland,,,,
AMAZONAS,landuse,w992584648,,-6.596398,-77.800587,0.44,farmland,,,,
AMAZONAS,landuse,w992584695,,-6.596446,-77.798652,0.09,farmland,,,,
AMAZONAS,landuse,w992584978,,-6.596523,-77.799283,0.6,farmland,,,,
AMAZONAS,landuse,w992584986,,-6.596484,-77.799917,0.56,farmland,,,,
AMAZONAS,landuse,w992587357,,-6.607693,-77.805271,1.22,farmland,,,,
AMAZONAS,landuse,w992587520,,-6.608027,-77.806675,0.55,farmland,,,,
AMAZONAS,landuse,w992587521,,-6.608154,-77.80736,0.46,farmland,,,,
AMAZONAS,landuse,w992587546,,-6.608786,-77.807896,0.25,farmland,,,,
AMAZONAS,landuse,w992587616,,-6.607101,-77.811848,1.12,farmland,,,,
AMAZONAS,landuse,w992587691,,-6.608192,-77.811007,0.75,farmland,,,,
AMAZONAS,landuse,w992812381,,-6.609761,-77.810403,2.17,farmland,,,,
AMAZONAS,landuse,w992812506,,-6.608753,-77.810033,0.3,farmland,,,,
AMAZONAS,landuse,w992812730,,-6.607545,-77.809953,0.46,farmland,,,,
AMAZONAS,landuse,w992813041,,-6.606947,-77.810759,1.37,farmland,,,,
AMAZONAS,landuse,w992813247,,-6.606819,-77.809528,2.03,farmland,,,,
AMAZONAS,landuse,w992813702,,-6.606848,-77.805089,1.5,farmland,,,,
AMAZONAS,landuse,w992813816,,-6.6065,-77.808856,0.31,farmland,,,,
AMAZONAS,landuse,w992814896,,-6.606227,-77.808204,0.63,farmland,,,,
AMAZONAS,landuse,w992815099,,-6.606683,-77.807657,1.33,farmland,,,,
AMAZONAS,landuse,w1007527209,,-6.600292,-77.793295,0.63,farmland,,,,
AMAZONAS,landuse,w1007527805,,-6.599897,-77.793808,0.36,farmland,,,,
AMAZONAS,landuse,w1007529520,,-6.59881,-77.793902,0.13,farmland,,,,
AMAZONAS,landuse,w1008088125,,-6.602394,-77.791485,0.36,farmland,,,,
AMAZONAS,landuse,w1008091667,,-6.602309,-77.790896,0.44,farmland,,,,
AMAZONAS,landuse,w1008091791,,-6.603077,-77.79089,0.26,farmland,,,,
AMAZONAS,landuse,w1008091942,,-6.603438,-77.790544,0.05,farmland,,,,
AMAZONAS,landuse,w1008092344,,-6.603597,-77.790873,0.15,farmland,,,,
AMAZONAS,landuse,w1008092448,,-6.600961,-77.792149,0.36,farmland,,,,
AMAZONAS,landuse,w1008092969,,-6.605069,-77.790446,0.15,farmland,,,,
AMAZONAS,landuse,w1008093114,,-6.605319,-77.790884,0.24,farmland,,,,
AMAZONAS,landuse,w1008093219,,-6.606156,-77.792913,1.14,farmland,,,,
AMAZONAS,landuse,w1008093976,,-6.606584,-77.801998,0.57,farmland,,,,
AMAZONAS,landuse,w1008095974,,-6.60693,-77.800705,0.59,farmland,,,,
AMAZONAS,landuse,w1008096064,,-6.606968,-77.797475,0.12,farmland,,,,
AMAZONAS,landuse,w1008096400,,-6.607049,-77.799182,0.15,farmland,,,,
AMAZONAS,landuse,w1008096793,,-6.606559,-77.796172,1.49,farmland,,,,
AMAZONAS,landuse,w1008101092,,-6.601273,-77.795841,0.8,farmland,,,,
AMAZONAS,landuse,w1008934402,,-6.593352,-77.802323,0.64,farmland,,,,
AMAZONAS,landuse,w1008934843,,-6.594651,-77.801387,1.26,farmland,,,,
AMAZONAS,landuse,w1008935144,,-6.59378,-77.801244,1.01,farmland,,,,
AMAZONAS,landuse,w1010076592,,-6.614425,-77.800365,0.87,farmland,,,,
AMAZONAS,landuse,w1010076718,,-6.615189,-77.799456,0.07,farmland,,,,
AMAZONAS,landuse,w1010076740,,-6.615216,-77.798838,0.23,farmland,,,,
AMAZONAS,landuse,w1010077202,,-6.615807,-77.803566,0.03,farmland,,,,
AMAZONAS,landuse,w1010078747,,-6.612351,-77.810228,0.61,farmland,,,,
AMAZONAS,landuse,w1010078784,,-6.612449,-77.80869,0.74,farmland,,,,
AMAZONAS,landuse,w1010078901,,-6.613273,-77.809368,1.28,farmland,,,,
AMAZONAS,landuse,w1010079068,,-6.611482,-77.808542,0.75,farmland,,,,
AMAZONAS,landuse,w1010079255,,-6.609767,-77.806972,0.34,farmland,,,,
AMAZONAS,landuse,w1010079408,,-6.61035,-77.807502,1.39,farmland,,,,
AMAZONAS,landuse,w1010079588,,-6.61025,-77.806088,1.41,farmland,,,,
AMAZONAS,landuse,w1010079886,,-6.597309,-77.805711,0.76,farmland,,,,
AMAZONAS,landuse,w1010080834,,-6.606159,-77.801515,0.07,farmland,,,,
AMAZONAS,landuse,w1010080919,,-6.606008,-77.801178,0.32,farmland,,,,
AMAZONAS,landuse,w1010081255,,-6.605449,-77.800005,0.45,farmland,,,,
AMAZONAS,landuse,w1010081342,,-6.605343,-77.800754,0.56,farmland,,,,
AMAZONAS,landuse,w1010082165,,-6.61644,-77.80907,1.07,farmland,,,,
AMAZONAS,landuse,w1010089508,,-6.612696,-77.80205,0.63,farmland,,,,
AMAZONAS,landuse,w1010089574,,-6.613116,-77.802205,0.23,farmland,,,,
AMAZONAS,landuse,w1010089963,,-6.612425,-77.802856,0.35,farmland,,,,
AMAZONAS,landuse,w1010090505,,-6.61312,-77.803536,1.54,farmland,,,,
AMAZONAS,landuse,w1010090655,,-6.609852,-77.802789,1.7,farmland,,,,
AMAZONAS,landuse,w1010090731,,-6.609245,-77.801373,1.51,farmland,,,,
AMAZONAS,landuse,w1010090842,,-6.608948,-77.800116,0.82,farmland,,,,
AMAZONAS,landuse,w1010090913,,-6.616443,-77.807414,0.77,farmland,,,,
AMAZONAS,landuse,w1010091216,,-6.616044,-77.807813,1.93,farmland,,,,
AMAZONAS,landuse,w1010091381,,-6.609831,-77.795905,1.27,farmland,,,,
AMAZONAS,landuse,w1010092758,,-6.611519,-77.795658,1.44,farmland,,,,
AMAZONAS,landuse,w1010092977,,-6.612,-77.795109,0.2,farmland,,,,
AMAZONAS,landuse,w1010093051,,-6.611895,-77.794769,0.22,farmland,,,,
AMAZONAS,landuse,w1010093089,,-6.611801,-77.794521,0.31,farmland,,,,
AMAZONAS,landuse,w1010093325,,-6.618577,-77.796851,1.52,farmland,,,,
AMAZONAS,landuse,w1010093531,,-6.621175,-77.798925,1.2,farmland,,,,
AMAZONAS,landuse,w1010093972,,-6.622314,-77.799518,0.59,farmland,,,,
AMAZONAS,landuse,w1012245129,,-6.61892,-77.806007,0.58,farmland,,,,
AMAZONAS,landuse,w1012245185,,-6.618761,-77.806177,0.17,farmland,,,,
AMAZONAS,landuse,w1012245394,,-6.617901,-77.805974,0.43,farmland,,,,
AMAZONAS,landuse,w1012247874,,-6.604148,-77.81367,0.14,farmland,,,,
AMAZONAS,landuse,w1012248609,,-6.606163,-77.810544,0.35,farmland,,,,
AMAZONAS,landuse,w1012248708,,-6.605659,-77.809842,0.44,farmland,,,,
AMAZONAS,landuse,w1012248770,,-6.607185,-77.806942,0.92,farmland,,,,
AMAZONAS,landuse,w1012249030,,-6.605899,-77.805265,1.2,farmland,,,,
